Order Date,Sales,Anomaly_IF,ZScore,Anomaly_Z
2015-01-04,304.508,-1,-1.4238619594600666,1
2015-01-11,4619.108,1,-0.8396803935655438,1
2015-01-18,4130.533,1,-0.9058317189623167,1
2015-01-25,3092.5440000000003,1,-1.0463717549798595,1
2015-02-01,2527.9139999999998,1,-1.1228206581345028,1
2015-02-08,968.534,-1,-1.3339551897769728,1
2015-02-15,2771.054,1,-1.0899003628738544,1
2015-02-22,224.912,-1,-1.4346389760824512,1
2015-03-01,2289.643,1,-1.155081708031887,1
2015-03-08,4030.728,1,-0.9193449626428671,1
2015-03-15,4139.602,1,-0.9046038084674627,1
2015-03-22,37703.665,-1,3.639851501670768,-1
2015-03-29,3998.777,1,-0.923671014933206,1
2015-04-05,10363.902,1,-0.06185562309749153,1
2015-04-12,8418.293,1,-0.3252841940515722,1
2015-04-19,2198.37,1,-1.1674397491165511,1
2015-04-26,5660.104,1,-0.6987332203930748,1
2015-05-03,4974.812,1,-0.7915193311924513,1
2015-05-10,6332.464,1,-0.6076980566131552,1
2015-05-17,3967.87,1,-0.9278557133194069,1
2015-05-24,6241.984,1,-0.6199487283051166,1
2015-05-31,6523.233,1,-0.5818686093540507,1
2015-06-07,8569.948,1,-0.3047506439250868,1
2015-06-14,8683.282000000001,1,-0.28940562153851784,1
2015-06-21,11139.4446,1,0.043150099445944674,1
2015-06-28,5143.956999999999,1,-0.7686176969822744,1
2015-07-05,3158.4,1,-1.0374550857165328,1
2015-07-12,6290.629,1,-0.6133623675131685,1
2015-07-19,1387.686,-1,-1.2772034928159983,1
2015-07-26,21590.079999999998,1,1.4581291363357445,1
2015-08-02,3255.66,1,-1.0242864260264337,1
2015-08-09,13454.076000000001,1,0.35654299698468095,1
2015-08-16,3187.942,1,-1.0334552034980986,1
2015-08-23,4366.4980000000005,1,-0.8738828933014673,1
2015-08-30,4901.8925,1,-0.801392373350298,1
2015-09-06,4234.85,1,-0.8917075664546871,1
2015-09-13,29959.137,-1,2.5912698268564225,-1
